Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-C-C-16178,P. D. Patel Institute of Applied Sciences,Changa,Gujarat,58.29,26,70.13,55.09,71.19,40.26,1.54
IR-C-I-1385,Fergusson College,Pune,Maharashtra,58.10,27,57.53,16.36,90.72,39.19,60.36
IR-C-C-6353,Sri Guru Tegh Bahadur Khalsa College,Delhi,Delhi,57.94,28,76.54,36.07,58.04,65.47,8.48
IR-C-C-43767,Mar Ivanios College,Thiruvananthapuram,Kerala,57.86,29,68.27,46.18,71.23,47.71,10.36
IR-C-C-41189,Scott Christian College,Nagercoil,Tamil Nadu,57.69,30,73.96,22.50,73.61,54.74,8.48
IR-C-C-6426,Shaheed Rajguru College of Applied Sciences for Women,Delhi,Delhi,57.57,31,73.55,18.94,70.68,72.68,3.75
IR-C-C-43946,Women`s Christian College,Chennai,Tamil Nadu,57.44,32,69.16,11.75,82.39,42.72,31.49
IR-C-C-41035,Government Arts College,Coimbatore,Tamil Nadu,57.19,33,76.18,35.78,54.15,44.46,33.64
IR-C-C-36513,Thiagarajar College,Madurai,Tamil Nadu,57.11,34,60.63,55.71,66.30,48.48,30.75
IR-C-C-11691,Rajagiri College of Social Sciences,Ernakulam,Kerala,55.38,35,75.56,1.35,77.28,51.93,4.46
IR-C-C-43902,Ethiraj College for Women,Chennai,Tamil Nadu,55.30,36,60.58,9.66,77.91,53.86,47.51
IR-C-C-6367,Daulat Ram College,Delhi,Delhi,55.29,37,63.11,5.27,87.45,49.32,24.70
IR-C-C-6391,Maitreyi College,New Delhi,Delhi,54.85,38,71.06,14.62,67.15,67.32,7.19
IR-C-C-35860,St. Joseph's College,Tiruchirappalli,Tamil Nadu,54.70,39,61.85,36.07,61.43,42.01,49.94
IR-C-N-6,Queen Mary`s College,Chennai,Tamil Nadu,54.65,40,65.19,18.79,83.95,30.03,17.63
IR-C-C-6357,Shyam Lal College,Delhi,Delhi,54.52,41,63.97,11.82,81.73,60.09,7.19
IR-C-C-35416,Rajiv Gandhi Institute of Information Technology and Biotechnology,Pune,Maharashtra,54.14,42,63.37,18.22,72.36,63.65,16.06
IR-C-C-6417,Kamala Nehru College,South,Delhi,54.00,43,70.19,1.64,78.53,52.55,7.84
IR-C-C-35825,Bishop Heber College,Tiruchirappalli,Tamil Nadu,53.89,44,55.09,43.21,59.60,49.61,55.06
IR-C-C-25376,Andhra Loyola College,Vijayawada,Andhra Pradesh,53.77,45,57.51,33.36,68.80,52.42,33.29
IR-C-C-6365,Indraprastha College for Women,Delhi,Delhi,53.19,46,65.10,0.42,71.35,70.05,22.48
IR-C-C-43705,Govt. College for Women,Thiruvananthapuram,Kerala,53.03,47,69.78,12.42,67.49,52.87,10.97
IR-C-C-6412,Maharaja Agrasen College,Delhi,Delhi,53.03,47,74.61,6.68,63.58,59.86,3.02
