Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-O-U-0143,Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,39.48,90,43.80,14.83,68.44,58.31,23.67
IR-O-U-0225,KLE Academy of Higher Education and Research,Belagavi,Karnataka,39.44,91,57.64,9.98,49.27,61.36,31.74
IR-O-U-0451,Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,39.26,92,61.18,6.64,56.44,57.30,19.02
IR-O-U-0050,Assam University,Silchar,Assam,39.21,93,52.68,13.32,63.79,48.04,18.51
IR-O-U-0507,Dayalbagh Educational Institute,Agra,Uttar Pradesh,39.06,94,50.80,4.09,67.06,63.36,28.35
IR-O-U-0744,Ashoka University,Sonepat,Haryana,39.02,95,57.91,3.20,60.00,76.49,10.41
IR-O-U-0121,Goa University,Goa,Goa,38.96,96,48.86,15.05,60.91,55.96,20.01
IR-O-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,38.92,97,49.40,15.25,60.65,56.03,18.00
IR-O-U-0555,Graphic Era University,Dehradun,Uttarakhand,38.91,98,47.99,9.74,60.76,62.23,32.17
IR-O-U-0223,"Jain university, Bangalore",Bengluru,Karnataka,38.89,99,39.29,12.72,73.89,59.54,25.52
IR-O-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,38.88,100,46.46,15.08,60.13,61.98,21.90
